Date,avr_d,tw_d,avr_t,tw_t
2016/8/17,0.000868041,-0.000677,0.028780719,0.090878
2016/8/18,0.002370803,0.002753,0.031151522,0.093631
2016/8/19,-0.002792536,-0.009769,0.028358985,0.083862
2016/8/22,-0.002791033,-0.005052,0.025567952,0.07881
2016/8/23,0.002195686,0.005409,0.027763638,0.084219
2016/8/24,-0.000100052,-0.00048,0.027663585,0.083739
2016/8/25,0.002934624,0.009389,0.030598209,0.093128
2016/8/26,0.001530772,0.002323,0.032128981,0.095451
2016/8/29,0.001869561,-0.002053,0.033998543,0.093398
2016/8/30,0.002447401,0.002725,0.036445944,0.096123
2016/8/31,-0.000684295,-0.006235,0.03576165,0.089888
2016/9/1,-0.001653791,-0.005865,0.034107858,0.084023
2016/9/2,-0.003936102,0.000916,0.030171757,0.084939
2016/9/5,0.003497725,0.011415,0.033669482,0.096354
2016/9/6,0.002058848,0.009236,0.03572833,0.10559
2016/9/7,0.002984452,0.004349,0.038712782,0.109939
2016/9/8,0.001767832,0.002118,0.040480614,0.112057
2016/9/9,0.000361757,-0.008757,0.040842371,0.1033
2016/9/10,-0.004840383,-0.012875,0.036001988,0.090425
2016/9/12,-0.001573123,-0.010681,0.034428865,0.079744
2016/9/13,-0.002956836,-0.000857,0.031472029,0.078887
2016/9/14,0.000264047,-0.003428,0.031736076,0.075459
2016/9/19,-0.000477484,0.023169,0.031258593,0.098628
2016/9/20,0.0008642,0.00065,0.032122793,0.099278
2016/9/21,0.003590782,0.00766,0.035713574,0.106938
2016/9/22,-0.000336249,-0.000861,0.035377325,0.106077
2016/9/23,0.002116109,0.004199,0.037493434,0.110276
2016/9/26,-0.001604956,-0.006513,0.035888478,0.103763
2016/9/29,0.001065227,0.007152,0.036953705,0.110915
2016/9/30,-0.00137784,-0.010163,0.035575865,0.100752
2016/10/3,0.00152964,0.004813,0.037105505,0.105565
2016/10/4,0.001708993,0.005902,0.038814498,0.111467
2016/10/5,7.48824E-05,-0.00079,0.03888938,0.110677
2016/10/6,0.000537519,-0.000137,0.0394269,0.11054
2016/10/7,-0.001359091,-0.003009,0.038067809,0.107531
2016/10/11,-0.008026766,-0.005436,0.030041043,0.102095
2016/10/12,-0.000172941,0.001997,0.029868101,0.104092
2016/10/13,-0.000476396,-0.003235,0.029391706,0.100857
2016/10/14,-0.002982473,-0.00656,0.026409233,0.094297
2016/10/17,0.000784415,0.003245,0.027193648,0.097542
2016/10/18,0.000949517,0.005592,0.028143165,0.103134
2016/10/19,0.001005714,0.005191,0.029148879,0.108325
2016/10/20,0.001312569,0.003205,0.030461448,0.11153
2016/10/21,0.000633483,0.000921,0.031094931,0.112451
2016/10/24,0.000342713,-0.000811,0.031437644,0.11164
2016/10/25,0.000685165,0.005955,0.032122808,0.117595
2016/10/26,0.000494261,-0.001307,0.03261707,0.116288
2016/10/27,-0.000460444,-0.004699,0.032156626,0.111589
2016/10/28,-0.001195923,-0.000204,0.030960703,0.111385
2016/10/31,-3.23602E-05,-0.001034,0.030928343,0.110351
2016/11/1,-0.000330584,-0.003438,0.030597759,0.106913
2016/11/2,-0.00364092,-0.013499,0.026956839,0.093414
2016/11/3,-0.001237181,-0.007765,0.025719658,0.085649
2016/11/4,5.14811E-05,0.000125,0.025771139,0.085774
2016/11/7,0.001117223,0.011025,0.026888363,0.096799
2016/11/8,0.000312528,0.004291,0.02720089,0.10109
2016/11/9,-0.004360259,-0.028652,0.022840631,0.072438
2016/11/10,0.002660163,0.024226,0.025500795,0.096664
2016/11/11,-0.000420122,-0.021214,0.025080673,0.07545
2016/11/14,0.000608307,-0.001171,0.02568898,0.074279
2016/11/15,0.00048721,-0.000649,0.026176191,0.07363
2016/11/16,0.000288895,0.004266,0.026465086,0.077896
2016/11/17,0.000590418,0.002668,0.027055503,0.080564
2016/11/18,0.000712286,0.002409,0.027767789,0.082973
2016/11/21,0.001553785,0.004321,0.029321574,0.087294
2016/11/22,-4.29071E-06,0.008831,0.029317284,0.096125
2016/11/23,3.27809E-05,0.004176,0.029350065,0.100301
2016/11/24,0.000650082,-0.000523,0.030000146,0.099778
2016/11/25,9.07348E-05,0.002207,0.030090881,0.101985
2016/11/28,0.001683109,0.006024,0.03177399,0.108009
2016/11/29,0.000294164,-0.001603,0.032068154,0.106406
2016/11/30,0.001014754,0.005205,0.033082908,0.111611
2016/12/1,0.00073191,0.002971,0.033814818,0.114582
2016/12/2,0.000631813,-0.003896,0.034446632,0.110686
2016/12/5,-0.000258797,-0.004932,0.034187835,0.105754
2016/12/6,0.000799004,0.008352,0.034986838,0.114106
2016/12/7,0.000340171,0.002278,0.035327009,0.116384
2016/12/8,0.000452399,0.009978,0.035779409,0.126362
2016/12/9,0.000319625,0.001598,0.036099033,0.12796
2016/12/12,0.00014912,-0.004391,0.036248154,0.123569
2016/12/13,0.001069758,0.003016,0.037317911,0.126585
2016/12/14,-0.000124211,-0.003458,0.0371937,0.123127
2016/12/15,0.000342787,-0.00049,0.037536487,0.122637
2016/12/16,0.000309683,-0.002071,0.03784617,0.120566
2016/12/19,-0.002104979,-0.008511,0.035741191,0.112055
2016/12/20,0.000600612,0.000401,0.036341803,0.112456
2016/12/21,-0.000208562,-0.002067,0.036133241,0.110389
2016/12/22,-0.001975474,-0.010079,0.034157766,0.10031
2016/12/23,-0.000585827,-0.004713,0.033571939,0.095597
2016/12/26,0.000638889,0.003082,0.034210828,0.098679
2016/12/27,-0.00040069,-0.000754,0.033810139,0.097925
2016/12/28,0.000604875,0.009867,0.034415014,0.107792
2016/12/29,-0.00028086,-0.004009,0.034134154,0.103783
2016/12/30,0.001852047,0.011493,0.035986201,0.115276
2017/1/3,0.001113515,0.000855,0.037099716,0.116131
2017/1/4,0.001156744,0.001829,0.03825646,0.11796
2017/1/5,0.003960611,0.008735,0.042217071,0.126695
2017/1/6,0.001353519,0.001272,0.04357059,0.127967
2017/1/9,-0.00161502,-0.003861,0.04195557,0.124106
2017/1/10,0.014444267,0.000934,0.056399837,0.12504
2017/1/11,0.000340851,0.001769,0.056740688,0.126809
2017/1/12,0.001585118,0.005466,0.058325806,0.132275
2017/1/13,0.000148876,-0.000618,0.058474682,0.131657
2017/1/16,-0.002503827,-0.008825,0.055970855,0.122832
2017/1/17,0.002706257,0.006333,0.058677112,0.129165
2017/1/18,0.002309786,-0.001621,0.060986898,0.127544
2017/1/19,-0.00047517,-0.002522,0.060511728,0.125022
2017/1/20,0.000330664,0.00115,0.060842392,0.126172
2017/1/23,0.002898229,0.007395,0.063740621,0.133567
2017/1/24,0.001212468,0.002483,0.06495309,0.13605
2017/2/2,0.005325839,-0.001302,0.070278928,0.134748
2017/2/3,0.004969986,0.003406,0.075248914,0.138154
2017/2/6,0.008079609,0.010526,0.083328523,0.14868
2017/2/7,0.002199035,0.002104,0.085527558,0.150784
2017/2/8,0.00199976,-0.000288,0.087527318,0.150496
2017/2/9,0.001277027,0.005306,0.088804345,0.155802
2017/2/10,-0.000312105,0.007747,0.088492239,0.163549
2017/2/13,0.003295076,0.003371,0.091787315,0.16692
2017/2/14,-0.000540259,0.001051,0.091247057,0.167971
2017/2/15,0.005060484,0.008394,0.096307541,0.176365
2017/2/16,-0.000792839,-0.003487,0.095514702,0.172878
