season,st_id,beta
202003,1103,0.924494052
202003,1217,0.968597881
202003,1312,0.98172113
202003,1313,1.647993099
202003,1416,1.197167724
202003,1447,0.902398009
202003,1455,0.52502364
202003,1460,0.702964455
202003,1466,-0.018917218
202003,1467,0.939941001
202003,1517,1.579289766
202003,1604,0.805656204
202003,1608,0.851710153
202003,1612,1.372752635
202003,1618,0.760308119
202003,1718,-0.162604811
202003,1802,1.62001745
202003,1806,0.753696967
202003,1815,0.802250405
202003,1907,1.418458459
202003,2007,0.988171962
202003,2014,1.110152282
202003,2023,1.11643449
202003,2028,0.727383871
202003,2031,1.40592327
202003,2104,1.416939926
202003,2107,1.0636098
202003,2204,0.984063034
202003,2328,1.083945527
202003,2352,1.172570709
202003,2353,1.168909495
202003,2357,1.010992881
202003,2363,2.187426199
202003,2374,0.866805517
202003,2392,0.927610026
202003,2401,1.606852843
202003,2409,1.377636512
202003,2413,1.909800228
202003,2431,1.776279353
202003,2457,1.985011523
202003,2460,1.831273231
202003,2461,1.159691808
202003,2489,1.323323271
202003,2545,0.515270507
202003,2603,0.757929666
202003,2606,0.855759698
202003,2823,0.952404815
202003,2881,0.96610357
202003,2882,0.672082969
202003,2883,0.808783326
202003,2888,0.962912033
202003,2891,0.837758876
202003,2915,0.470689398
202003,3015,1.294296846
202003,3040,1.24174379
202003,3048,0.874970335
202003,3050,0.621882516
202003,3290,0.733919011
202003,3294,0.800862572
202003,3311,0.672812409
202003,3419,0.977777412
202003,3437,1.766417169
202003,3455,0.585732289
202003,3481,1.226898561
202003,3508,1.284071306
202003,3607,1.17658765
202003,3615,1.421725163
202003,3704,1.611030997
202003,4121,1.466731597
202003,4306,1.055758341
202003,4414,0.869739162
202003,4526,0.660958609
202003,4906,1.029214661
202003,4930,1.521042885
202003,4939,1.207243022
202003,5452,1.604698077
202003,5469,2.000382571
202003,5519,0.604971589
202003,5603,0.868541407
202003,5608,0.877068907
202003,5905,0.855895899
202003,6116,1.397080132
202003,6133,0.971497237
202003,6153,1.464874827
202003,6191,2.221520221
202003,6219,0.767254101
202003,6220,1.631080305
202003,6603,0.723379026
202003,6605,0.605083118
202003,8040,1.166789789
202003,8054,1.592664341
202003,8110,1.640181528
202003,8390,1.68380433
202003,8403,0.698042868
202003,9904,1.006097633
202003,9907,1.129800631
202003,9934,0.584841321
202003,9944,0.6565605
202003,9945,0.752637835
202003,9955,1.295730878
201904,1104,0.748539996
201904,1109,0.971896221
201904,1304,1.263067621
201904,1305,1.481926281
201904,1308,0.78769861
201904,1314,0.992034264
201904,1316,1.363416056
201904,1434,0.62015192
201904,1440,1.049446502
201904,1569,1.809874808
201904,1605,0.836612784
201904,1609,1.306036846
201904,1611,0.506257441
201904,1718,1.214598813
201904,1785,1.306834516
201904,1802,1.186088277
201904,1909,1.291985229
201904,2009,1.291381274
201904,2013,1.089653759
201904,2303,0.472604207
201904,2317,1.020540455
201904,2323,1.255262344
201904,2324,0.724280981
201904,2331,1.31620722
201904,2332,1.336901465
201904,2355,1.395684544
201904,2369,1.352741266
201904,2392,1.57418341
201904,2393,1.574970505
201904,2399,1.478290913
201904,2402,1.47366618
201904,2405,1.401766653
201904,2417,1.221865225
201904,2426,1.53206897
201904,2453,1.415390622
201904,2457,1.465934052
201904,2501,1.137028487
201904,2504,1.146725473
201904,2514,1.106894023
201904,2515,1.060797124
201904,2520,1.327415605
201904,2536,0.892384683
201904,2545,1.190387976
201904,2605,1.18681768
201904,2606,0.970124113
201904,2607,0.731870375
201904,2614,1.077483934
201904,2615,1.125043045
201904,2617,0.911073824
201904,2809,1.185893454
201904,2836,0.790051269
201904,2838,0.935983931
201904,2841,1.028859059
201904,2867,1.278581683
201904,3006,1.565526584
201904,3015,1.001387668
201904,3041,1.623214938
201904,3047,1.467970365
201904,3052,1.104102993
201904,3055,0.631517093
201904,3060,1.263940218
201904,3189,1.802056388
201904,3231,1.468104936
201904,3265,1.361711725
201904,3289,1.583992672
201904,3437,1.594685434
201904,3545,1.136555106
201904,3551,1.506434656
201904,3552,1.687356736
201904,3669,0.880442864
201904,3679,1.336919144
201904,3682,1.263832339
201904,3706,1.197949361
201904,3708,1.306222527
201904,3712,1.597885814
201904,4938,1.197230944
201904,4942,1.25708452
201904,5213,1.10941711
201904,5351,1.674052625
201904,5356,0.986254883
201904,5371,1.065246147
201904,5481,0.573448251
201904,5490,1.4081152
201904,5498,1.642751201
201904,5522,1.084529617
201904,5531,0.737524355
201904,6127,1.611464571
201904,6141,1.564714716
201904,6163,1.320210606
